,X,Y,Z,,,-50,-38.89,-27.78,-16.67,-5.56,5.55,16.66,27.77,38.88,49.99,
28:01.9,-5.56,49.99,-0.06,,,-0.06,-0.06,-0.05,-0.04,-0.01,-0.01,0,0,0,0,0
28:01.9,5.55,-50,0.03,,,0.03,-0.06,-0.16,-0.25,-0.33,0,0,0,0,0,0
28:01.9,5.55,-38.89,0,,,0,-0.07,-0.15,-0.22,-0.32,0,0,0,0,0,0
28:01.9,5.55,-27.78,0,,,0,-0.05,-0.17,-0.22,-0.27,0,0,0,0,0,0
28:01.9,5.55,-16.67,-0.01,,,-0.01,-0.06,-0.13,-0.2,-0.26,0,0,0,0,0,0
28:01.9,5.55,-5.56,-0.01,,,-0.01,-0.07,-0.12,-0.17,-0.22,0,0,0,0,0,0
28:01.9,5.55,5.55,-0.02,,,-0.02,-0.09,-0.11,-0.17,-0.18,0,0,0,0,0,0
28:01.9,5.55,16.66,-0.02,,,-0.02,-0.09,-0.11,-0.15,-0.15,0,0,0,0,0,0
28:01.9,5.55,27.77,-0.04,,,-0.04,-0.07,-0.1,-0.1,-0.12,0,0,0,0,0,0
28:01.9,5.55,38.88,-0.05,,,-0.05,-0.06,-0.06,-0.06,-0.06,0,0,0,0,0,0
28:01.9,5.55,49.99,-0.06,,,-0.06,-0.05,-0.04,-0.01,-0.01,0,0,0,0,0,0
28:01.9,16.66,-50,-0.06,,,-0.06,-0.16,-0.25,-0.33,0,0,0,0,0,0,0
28:01.9,16.66,-38.89,-0.07,,,-0.07,-0.15,-0.22,-0.32,0,0,0,0,0,0,0
28:01.9,16.66,-27.78,-0.05,,,-0.05,-0.17,-0.22,-0.27,0,0,0,0,0,0,0
28:01.9,16.66,-16.67,-0.06,,,-0.06,-0.13,-0.2,-0.26,0,0,0,0,0,0,0
28:01.9,16.66,-5.56,-0.07,,,-0.07,-0.12,-0.17,-0.22,0,0,0,0,0,0,0
28:01.9,16.66,5.55,-0.09,,,-0.09,-0.11,-0.17,-0.18,0,0,0,0,0,0,0
28:01.9,16.66,16.66,-0.09,,,-0.09,-0.11,-0.15,-0.15,0,0,0,0,0,0,0
